grupo,término,tfidf
La Nación,proceso,0.2292
La Nación,trump,0.1528
La Nación,seguir,0.1528
La Nación,social,0.1528
La Nación,red,0.1528
La Nación,malvinas,0.1528
La Nación,coimas,0.1337
La Nación,wagner,0.1337
La Nación,beraldi,0.1337
La Nación,recaudación,0.1146
La Nación,poder,0.1146
La Nación,cumplir,0.1146
Página 12,cfk,0.271
Página 12,electoral,0.2439
Página 12,españa,0.2168
Página 12,goycoechea,0.2168
Página 12,cambiar,0.1626
Página 12,mencionar,0.1626
Página 12,dólares,0.1626
Página 12,perseguir,0.1084
Página 12,licitación,0.1084
Página 12,maniobra,0.1084
Página 12,español,0.1084
Página 12,contenido,0.1084
